iter	Passed	Remaining
414	2880	4061
415	2887	4053
416	2893	4045
417	2900	4038
418	2911	4037
419	2941	4062
420	2951	4058
421	2990	4095
422	3013	4110
423	3035	4123
424	3048	4124
425	3058	4121
426	3067	4116
427	3076	4111
428	3085	4107
429	3094	4101
430	3101	4094
431	3107	4086
432	3115	4079
433	3122	4071
434	3142	4081
435	3149	4073
436	3156	4066
437	3166	4063
438	3177	4060
439	3192	4063
440	3205	4063
441	3215	4059
442	3223	4053
443	3230	4045
444	3238	4038
445	3245	4030
446	3252	4024
447	3260	4016
448	3269	4012
449	3276	4005
450	3285	3999
451	3294	3994
452	3300	3985
453	3306	3976
454	3312	3967
455	3317	3958
456	3324	3950
457	3334	3945
458	3342	3939
459	3348	3931
460	3355	3922
461	3360	3913
462	3365	3903
463	3385	3911
464	3391	3902
465	3397	3893
466	3403	3884
467	3410	3876
468	3415	3867
469	3422	3859
470	3428	3851
471	3434	3842
472	3440	3832
473	3447	3825
474	3453	3816
475	3459	3808
476	3466	3800
477	3474	3794
478	3481	3787
479	3489	3780
480	3498	3774
481	3506	3768
482	3513	3761
483	3522	3754
484	3529	3747
485	3537	3740
486	3549	3739
487	3560	3735
488	3569	3729
489	3577	3723
490	3585	3717
491	3594	3711
492	3604	3706
493	3613	3700
494	3623	3696
495	3630	3689
496	3637	3681
497	3644	3674
498	3652	3666
499	3660	3660
500	3667	3652
501	3673	3644
502	3680	3636
503	3689	3630
504	3696	3623
505	3704	3616
506	3710	3607
507	3717	3599
508	3724	3593
509	3730	3583
510	3735	3574
511	3741	3566
512	3749	3559
513	3755	3551
514	3784	3563
515	3798	3562
516	3812	3561
517	3824	3558
518	3840	3559
519	3864	3567
520	3878	3565
521	3885	3557
522	3895	3552
523	3902	3545
524	3920	3547
525	3928	3539
526	3935	3532
527	3941	3523
528	3944	3512
529	3949	3502
530	3954	3493
531	3960	3483
532	3965	3474
533	3969	3464
534	3975	3455
535	3980	3446
536	3986	3436
537	3990	3426
538	3997	3419
539	4003	3410
540	4011	3403
541	4016	3394
542	4023	3386
543	4029	3377
544	4035	3368
545	4042	3361
546	4049	3353
547	4057	3346
548	4063	3338
549	4072	3332
550	4079	3324
551	4088	3317
552	4095	3310
553	4102	3302
554	4108	3294
555	4114	3286
556	4122	3279
557	4147	3285
558	4156	3279
559	4167	3274
560	4180	3271
561	4190	3265
562	4199	3259
563	4209	3253
564	4217	3246
565	4225	3240
566	4254	3248
567	4261	3241
568	4278	3240
569	4298	3243
570	4312	3240
571	4324	3235
572	4334	3229
573	4356	3233
574	4364	3225
575	4372	3218
576	4380	3211
577	4388	3203
578	4404	3202
579	4413	3196
580	4421	3188
581	4429	3181
582	4444	3179
583	4453	3172
584	4460	3164
585	4468	3157
586	4477	3150
587	4487	3144
588	4495	3136
589	4502	3128
590	4510	3121
591	4522	3117
592	4530	3109
593	4537	3101
594	4546	3094
595	4557	3089
596	4570	3085
597	4578	3077
598	4585	3070
599	4595	3063
600	4604	3057
601	4627	3059
602	4637	3052
603	4645	3045
604	4655	3039
605	4662	3031
606	4668	3022
607	4676	3015
608	4685	3008
609	4693	3000
610	4701	2993
611	4708	2985
612	4723	2982
613	4736	2977
614	4748	2972
615	4754	2963
616	4764	2957
617	4776	2952
618	4783	2944
619	4790	2935
620	4809	2935
621	4823	2931
622	4833	2924
623	4843	2918
624	4852	2911
625	4859	2903
626	4865	2894
627	4872	2886
628	4879	2878
629	4886	2869
630	4893	2861
631	4900	2853
632	4907	2844
633	4913	2836
634	4920	2828
635	4927	2819
636	4933	2811
637	4941	2803
638	4948	2795
639	4956	2787
640	4965	2781
641	4973	2773
642	4981	2766
643	4989	2758
644	4998	2751
645	5007	2744
646	5016	2736
647	5026	2730
648	5033	2722
649	5040	2713
650	5047	2705
651	5055	2698
652	5062	2690
653	5070	2682
654	5080	2676
655	5088	2668
656	5096	2660
657	5103	2652
658	5110	2644
659	5122	2638
660	5129	2630
661	5135	2622
662	5141	2613
663	5147	2604
664	5154	2596
665	5162	2589
666	5169	2581
667	5176	2572
668	5183	2564
669	5190	2556
670	5196	2548
671	5203	2539
672	5210	2531
673	5216	2523
674	5223	2515
