iter	Logloss
0	0.6773139692
1	0.6630260557
2	0.6503202918
3	0.6389876369
4	0.6290146298
5	0.6201659532
6	0.6125672628
7	0.60573922
8	0.5994762253
9	0.594042079
10	0.5892578843
11	0.5848746087
12	0.5812365289
13	0.5776704476
14	0.5745544886
15	0.5718663503
16	0.5693632243
17	0.5672362124
18	0.5651677755
19	0.5632537529
20	0.5617828394
21	0.5604395556
22	0.5589864046
23	0.5575822909
24	0.5563349759
25	0.5552172028
26	0.5542865539
27	0.5533008444
28	0.5525071346
29	0.5517690314
30	0.5510263388
31	0.5503702568
32	0.5497825113
33	0.5491738524
34	0.548683266
35	0.5481321731
36	0.5476549319
37	0.5472017032
38	0.5467906666
39	0.5464197131
40	0.5460326872
41	0.5457079791
42	0.5454046282
43	0.5450920228
44	0.5448141692
45	0.5444970182
46	0.5442248642
47	0.5439894764
48	0.5438143554
49	0.54364911
50	0.5434232972
51	0.5432103024
52	0.5429993304
53	0.5427815446
54	0.5426327722
55	0.5424921979
56	0.5423120907
57	0.5421495519
58	0.5419797696
59	0.5418324163
60	0.5416732943
61	0.5415438734
62	0.5414068855
63	0.5412569011
64	0.54108971
65	0.5409558771
66	0.5408260377
67	0.5407223377
68	0.5406024059
69	0.5404754328
70	0.5403548517
71	0.5402717018
72	0.5401607032
73	0.5400615991
74	0.5399491324
75	0.5398823303
76	0.5397944462
77	0.5396928471
78	0.5395878106
79	0.5395145463
80	0.5394341785
81	0.5393511669
82	0.539251024
83	0.53916785
84	0.5390554242
85	0.5389917299
86	0.5388749638
87	0.5387745736
88	0.5387229432
89	0.538665164
90	0.5385852586
91	0.5385032658
92	0.5383966511
93	0.5383170828
94	0.5382443558
95	0.5382038967
96	0.538136332
97	0.5380724268
98	0.5379965315
99	0.5379535939
100	0.5379247328
101	0.5378525289
102	0.5378195987
103	0.5378179782
104	0.5377582854
105	0.5377003883
106	0.5376196572
107	0.5375652366
108	0.537518525
109	0.5374611062
110	0.5374170776
111	0.5373230855
112	0.537235001
113	0.5371972448
114	0.5371112495
115	0.5370626242
116	0.5370207616
117	0.5369778523
118	0.5369331877
119	0.5368828173
120	0.5368277116
121	0.5367345268
122	0.5367289858
123	0.5366781436
124	0.5366236597
125	0.5365843218
126	0.5364960882
127	0.5364377178
128	0.5364037852
129	0.5363383344
130	0.5362869945
131	0.5362456192
132	0.5361939842
133	0.5361489439
134	0.5360979779
135	0.5359958866
136	0.5359658582
137	0.535904507
138	0.5358580227
139	0.535782988
140	0.5357390952
141	0.5356915946
142	0.5356290591
143	0.5356080466
144	0.5355826041
145	0.5355189849
146	0.5354937868
147	0.5354637452
148	0.535384105
149	0.5353664315
150	0.5353197481
151	0.5352769891
152	0.53522345
153	0.5351894894
154	0.5351323274
155	0.5350856931
156	0.5350017397
157	0.5349483494
158	0.5349119746
159	0.5348576407
160	0.5347846054
161	0.5347342853
162	0.5346917022
163	0.5346395277
164	0.5346113487
165	0.5345701786
166	0.534550768
167	0.5345045831
168	0.5344800255
169	0.5344540572
170	0.5344181415
171	0.5343761226
172	0.5343231694
173	0.5342806945
174	0.5342469345
175	0.5341902938
176	0.5341281906
177	0.5341047789
178	0.5340694428
179	0.5340365258
180	0.5340067073
181	0.5339790006
182	0.5339087074
183	0.5338830748
184	0.533850478
185	0.533818188
186	0.5337732688
187	0.5337448264
188	0.5337246953
189	0.5336860225
190	0.5336498411
191	0.5335986862
192	0.5335729525
